CompanyName,CompanyType,Programme,RefDate,Sector
AIK BEE CONSTRUCTION SDN BHD,SME,STAR,13/7/2021,
AIMA CONSTRUCTION SDN BHD,Others,STAR,22/8/2017,
AIMI AZIZ & ASSOCIATES,Others,STAR,8/5/2018,
AIMIA PTY LOYALTY SDN BHD,,STAR,23/12/2014,
AIN MEDICARE SDN BHD,Others,STAR,26/4/2016,Healthcare
AIRA COUTURE,SME,STAR,9/1/2021,
AIRBUS CUSTOMER SERVICES SDN BHD,,STAR,5/5/2016,
AIRIS ENGINEERS SDN BHD,Others,STAR,8/8/2017,
AIRIZ DENTALCARE PLT,SME,STAR,8/10/2021,Healthcare
AIROD AEROSPACE TECHNOLOGY,,STAR,21/8/2014,
AIROD AEROSPACE TECHNOLOGY SDN BHD,Others,STAR,5/9/2014,
AJ EDUCATION AND TRAINING SDN BHD,SME,STAR,7/10/2019,
AJC PLANNING CONSULTANT SDN BHD,,STAR,7/4/2014,
AJC VENTURES SDN BHD,SME,STAR,26/4/2021,
AJL (M) SDN BHD,Others,STAR,21/11/2017,
AK ENVIRONMENTAL MANAGEMENT SERVICES,SME,STAR,3/12/2020,
AKASHAH ARCHITECT,,STAR,24/2/2015,
AKSARA INTERNATIONAL SDN BHD,SME,STAR,22/9/2020,Healthcare
AL CO SALES & SERVICES SDN BHD,,STAR,11/9/2014,
AL FATEH GEMILANG SDN BHD,Others,STAR,21/1/2020,
AL RAJHI BANKING & INVESTMENT CORPORATION (MALAYSIA) BHD,,STAR,19/10/2015,
ALAM SEKITAR ECO- TECHNOLOGY SDN BHD,,STAR,18/3/2015,
ALFA LAVAL MALAYSIA SDN BHD,,STAR,16/5/2016,
ALFINITY CONSULTING SDN BHD,,STAR,11/9/2014,
ALJEFFRIDEAN,Others,STAR,25/9/2014,
ALL DAY PHARMACY SDN BHD - SHAH ALAM,,STAR,21/2/2017,
ALL DAY PHARMACY SDN BHD,,STAR,5/12/2016,
ALLDAY PHARMACY SDN BHD,,STAR,21/2/2017,
ALLEXCEL TRADING SDN BHD,,STAR,14/10/2016,
ALLIANCE PRECAST INDUSTRIES SDN BHD,,STAR,21/1/2015,
ALLIANCE RUBBER PRODUCTS SDN BHD,,STAR,21/7/2016,
ALLIANCE STEEL (M) SDN BHD,,STAR,16/1/2017,
ALLTHATISSOLID,Others,STAR,11/2/2016,
ALOHA SMILES SDN BHD,SME,STAR,20/11/2021,
ALPHA HOME APPLIANCES SDN BHD,,STAR,9/11/2016,
ALPRO ALLIANCE (PENANG) SDN BHD,Others,STAR,8/7/2019,Healthcare
ALPRO ALLIANCE (SARAWAK) SDN BHD,Others,STAR,8/7/2019,Healthcare
ALPRO ALLIANCE SDN BHD,,STAR,2/6/2016,
ALPRO PHARMACY SDN BHD,,STAR,2/6/2016,
ALPS ELECTRIC (MALAYSIA) SDN BHD,MNC,STAR,20/6/2016,E&E
ALS TECHNICHEM (M) SDN BHD,MNC,STAR,12/12/2017,
ALTERA WORLDWIDE SERVICES (M) SDN BHD,,STAR,25/11/2015,
ALUMINIUM CO OF MALAYSIA BHD,SME,STAR,5/9/2017,
ALW TAX SERVICES SDN BHD,,STAR,19/10/2015,
AM PM PHARMACY SDN BHD,,STAR,11/4/2016,
AMACC CORPORATE SERVICES SDN BHD,SME,STAR,18/9/2017,
AMANAHRAYA TRUSTEES BHD,,STAR,7/12/2016,
AMAZING UNITY SDN BHD,Others,STAR,18/9/2018,
AMBANG TERBILANG SDN BHD,,STAR,21/8/2014,
AMBANG WIRA SDN BHD,,STAR,19/10/2015,
AME MANUFACTURING SDN BHD,Others,STAR,30/10/2019,
AMERICAN INTERNATIONAL ASSURANCE BHD,MNC,STAR,28/10/2011,Healthcare
AMGREEN GAIN SDN BHD,,STAR,15/3/2016,
AMINVESTMENT BANK BHD,MNC,STAR,19/11/2016,Financial Services
AMJ TECHNIQUE SDN BHD,,STAR,29/6/2016,
AMKOR TECHNOLOGY MALAYSIA SDN BHD,,STAR,22/12/2016,
AMLION RETAIL CONNECTION SDN BHD,SME,STAR,19/2/2018,Healthcare
AMLION TOOTHPASTE MFG SDN BHD,SME,STAR,19/2/2019,
AMMETLIFE INSURANCE BHD,,STAR,27/10/2015,
AMN HEALTH ( FARMASI SEGAMAT),Others,STAR,2/1/2018,Healthcare
AMSTEEL MILLS MARKETING SDN BHD,,STAR,29/1/2016,
AMWAY BUSINESS SERVICES ASIA PACIFIC SDN BHD,MNC,STAR,9/4/2013,
AN NAJAH BERKAT SDN BHD,SME,STAR,18/2/2022,Healthcare
ANCOM BHD,,STAR,22/12/2014,
ANGSANA TUNAS SDN BHDÂ,,STAR,3/7/2016,
ANGUS WONG CHONG & PARTNERS,,STAR,19/10/2015,
ANIMAL MEDICAL CENTRE SDN BHD,SME,STAR,7/11/2017,Healthcare
ANN JOO RESOURCES BHD,Others,STAR,25/9/2012,
ANN JOO STEEL BHD,,STAR,13/4/2016,
ANSELL N.P. SDN BHD,,STAR,16/11/2015,
ANSHAH MARINE AND SERVICES SDN BHD,,STAR,18/2/2016,
ANTAH SCHINDLER SDN BHD,,STAR,20/12/2016,
ANTARAGRAFIK PSC SDN BHD,,STAR,16/11/2015,
ANTARES PHARMA SDN BHD,SME,STAR,8/8/2019,Healthcare
ANTIPEST MANAGEMENT SERVICES SDN BHD,,STAR,24/11/2016,
ANWAR SALLEH ARCHITECT,,STAR,17/10/2016,
ANZ ENGINEERING SDN BHD,,STAR,19/9/2016,
AON INSURANCE BROKERS (M) SDN BHD,,STAR,12/1/2015,
APD DIGITAL SERVICES SDN BHD,MNC,STAR,9/12/2017,
APEX OFFICE FURNITURE EXPORTER SDN BHD,,STAR,3/12/2015,
APEX PHARMACY MARKETING SDN BHD,,STAR,12/1/2015,
APICAL (MALAYSIA) SDN BHD,,STAR,24/3/2016,
APM CORPORATE SERVICES SDN BHD,,STAR,21/8/2015,
APOLLO SMILES SDN BHD,SME,STAR,16/3/2022,
APPLIED INTEGRATORS SDN BHD,,STAR,18/3/2015,
AQS SERVICES SDN BHD,Others,STAR,9/2/2015,
AQUA ENVIRONMENTAL CONSULTANT SDN BHD,Others,STAR,13/10/2017,
AR GLOBAL TECH,SME,STAR,23/5/2021,
AR NISA EMPIRE DENTAL CARE SDN BHD,Others,STAR,16/10/2021,Healthcare
