CompanyName,CompanyType,Programme,RefDate,Sector
LAM MANUFACTURING MALAYSIA,,IP,8/3/2021,E&E
LAM MANUFACTURING MALAYSIA,,IP,7/3/2023,E&E
SCICOM (MSC) BHD,,IP,9/3/2021,Communications Content and Infrastructure (CCI)
MALAYSIAN ASSOCIATION OF PTE COLLEGES AND UNIVERSITIES (MAPCU),,IP,9/3/2021,Education
TMC LIFE SCIENCES BHD,,IP,10/3/2021,Healthcare
RAFFLES UNIVERSITY,,IP,10/3/2021,Education
RAFFLES UNIVERSITY,,IP,13/7/2023,Education
THOMSON HOSPITALS SDN BHD,,IP,10/3/2021,Healthcare
MINEBEA ELECTRONICS MOTOR (M) SDN BHD,,IP,10/3/2021,E&E
MINEBEA ELECTRONICS MOTOR (M) SDN BHD,,IP,3/8/2022,E&E
ARAMCO,,IP,11/3/2021,"Oil, Gas & Energy (OGE)"
ARAMCO,,IP,8/12/2022,"Oil, Gas & Energy (OGE)"
DEXCOM MALAYSIA SDN BHD,,IP,11/3/2021,Healthcare
DEXCOM MALAYSIA SDN BHD,,IP,22/2/2022,Healthcare
DEXCOM MALAYSIA SDN BHD,,IP,28/7/2023,Healthcare
AFFIN BANK BHD,,IP,11/3/2021,Financial Services
AFFIN BANK BHD,,IP,31/5/2023,Financial Services
AFFIN HWANG INVESTMENT BANK BHD,,IP,11/3/2021,Financial Services
AGRO BANK,,IP,11/3/2021,Financial Services
ASIAN INSTITUTE OF CHARTERED BANKERS,,IP,11/3/2021,Financial Services
ALLIANCE BANK MALAYSIA BHD,,IP,11/3/2021,Financial Services
ALLIANCE BANK MALAYSIA BHD,,IP,25/4/2022,Financial Services
ALLIANCE BANK MALAYSIA BHD,,IP,7/7/2023,Financial Services
AL-RAJHI BANK,,IP,11/3/2021,Financial Services
BANK MUAMALAT,,IP,11/3/2021,Financial Services
BANK MUAMALAT,,IP,25/4/2024,Financial Services
BANK OF AMERICA MALAYSIA BHD,,IP,11/3/2021,Financial Services
BANK OF CHINA,,IP,11/3/2021,Financial Services
BANK PEMBANGUNAN MALAYSIA BHD,,IP,11/3/2021,Financial Services
BANK RAKYAT,,IP,11/3/2021,Financial Services
BANK SIMPANAN NASIONAL (BSN),,IP,11/3/2021,Financial Services
BANK SIMPANAN NASIONAL (BSN),,IP,7/12/2023,Financial Services
BANK SIMPANAN NASIONAL (BSN),,IP,22/3/2024,Financial Services
BNP PARIBAS MALAYSIA,,IP,11/3/2021,Financial Services
BNP PARIBAS MALAYSIA,,IP,7/12/2023,Financial Services
CAGAMAS BHD,,IP,11/3/2021,Financial Services
CHINA CONSTRUCTION BANK,,IP,11/3/2021,Financial Services
CITIBANK,,IP,11/10/2019,Financial Services
CITIBANK,,IP,11/3/2021,Financial Services
CITIBANK,,IP,1/3/2023,Financial Services
DANAJAMIN MALAYSIA BHD,,IP,11/3/2021,Financial Services
DEUTSCHE BANK,,IP,11/3/2021,Financial Services
EXPORT-IMPORT BANK OF MALAYSIA BHD (EXIM BANK),,IP,11/3/2021,Financial Services
FINANCE ACCREDITATION AGENCY,,IP,11/3/2021,Financial Services
INDIA INTERNATIONAL BANK (MALAYSIA) BHD,,IP,11/3/2021,Financial Services
JP MORGAN,,IP,11/3/2021,Financial Services
KENANGA INVESTMENT BANK BHD,,IP,11/3/2021,Financial Services
MBSB BANK,,IP,11/3/2021,Financial Services
MBSB BANK,,IP,18/10/2023,Financial Services
MIDF AMANAH INVESTMENT BANK BHD,,IP,11/3/2021,Financial Services
MIDF AMANAH INVESTMENT BANK BHD,,IP,7/3/2023,Financial Services
MIZUHO BANK (MALAYSIA) BHD,,IP,11/3/2021,Financial Services
MUFG BANK (MALAYSIA) BHD,,IP,11/3/2021,Financial Services
MUFG BANK (MALAYSIA) BHD,,IP,7/12/2023,Financial Services
OCBC BANK,,IP,11/3/2021,Financial Services
OCBC BANK,,IP,18/2/2022,Financial Services
OCBC BANK,,IP,31/5/2023,Financial Services
PUBLIC BANK BHD,,IP,11/3/2021,Financial Services
PWC MALAYSIA,,IP,11/3/2021,Professional Services
PWC MALAYSIA,,IP,23/2/2023,Professional Services
PWC MALAYSIA,,IP,31/1/2024,Professional Services
RHB BANK BHD,,IP,18/8/2020,Financial Services
RHB BANK BHD,,IP,11/3/2021,Financial Services
RHB BANK BHD,,IP,18/4/2023,Financial Services
SABAH DEVELOPMENT BANK,,IP,11/3/2021,Financial Services
SCOTIA BANK,,IP,11/3/2021,Financial Services
SME BANK,,IP,11/3/2021,Financial Services
SME BANK,,IP,18/10/2023,Financial Services
STANDARD CHARTERED BANK,,IP,11/3/2021,Financial Services
SUMITOMO MITSUI BANKING CORPORATION MALAYSIA BHD,,IP,11/3/2021,Financial Services
UNITED OVERSEAS BANK (MALAYSIA) BHD (UOB),,IP,21/1/2020,Financial Services
UNITED OVERSEAS BANK (MALAYSIA) BHD (UOB),,IP,11/3/2021,Financial Services
UNITED OVERSEAS BANK (MALAYSIA) BHD (UOB),,IP,7/3/2023,Financial Services
TOKIO MARINE,,IP,11/3/2021,Professional Services
OPERION,,IP,12/3/2021,Communications Content and Infrastructure (CCI)
ASEAN HUMAN DEVELOPMENT ORGANISATION (AHDO),,IP,15/3/2021,NGO
"MIMOS BHD, KULIM",,IP,16/3/2021,Government Agency
"MIMOS BHD, KULIM",,IP,13/9/2022,Government Agency
"MIMOS BHD, KULIM",,IP,18/1/2023,Government Agency
"KEDAH EXCO FOR INDUSTRY, INVESTMENT, HIGHER EDUCATION, SCIENCE, TECHNOLOGY AND INNOVATION",,IP,18/3/2021,State Government
ANALOG DEVICES SDN BHD,,IP,23/3/2021,E&E
ANALOG DEVICES SDN BHD,,IP,15/8/2022,E&E
ANALOG DEVICES SDN BHD,,IP,29/8/2023,E&E
PENANG STATE EXCO ON SOCIAL DEVELOPMENT AND NON-ISLAMIC AFFAIRS,,IP,23/3/2021,State Government
PENANG STATE HEALTH DEPARTMENT,,IP,23/3/2021,State Government
AXIATA GROUP BHD,,IP,24/3/2021,Communications Content and Infrastructure (CCI)
AXIATA GROUP BHD,,IP,7/3/2023,Communications Content and Infrastructure (CCI)
JABATAN PENDIDIKAN TINGGI (JPT),,IP,26/3/2021,Government
MALAYSIAN INVESTMENT DEVELOPMENT AUTHORITY (MIDA),,IP,26/1/2021,Government Agency
AGENSI PEKERJAAN OSADI SDN BHD,,IP,31/3/2021,Professional Services
ANSELL (KULIM) SDN BHD,,IP,31/3/2021,Manufacturing
E-IDAMAN SDN BHD,,IP,31/3/2021,Waste Management
E-IDAMAN SDN BHD,,IP,14/3/2023,Waste Management
FUJI ELECTRIC (MALAYSIA) SDN BHD,,IP,5/8/2020,E&E
FUJI ELECTRIC (MALAYSIA) SDN BHD,,IP,31/3/2021,E&E
FUJI ELECTRIC (MALAYSIA) SDN BHD,,IP,3/8/2022,E&E
HOYA ELECTRONICS MALAYSIA SDN BHD,,IP,31/3/2021,E&E
HOYA ELECTRONICS MALAYSIA SDN BHD,,IP,3/8/2022,E&E
INVEST KEDAH BHD,,IP,29/1/2019,Government Agency
INVEST KEDAH BHD,,IP,27/2/2020,Government Agency
INVEST KEDAH BHD,,IP,31/3/2021,Government Agency
INVEST KEDAH BHD,,IP,14/2/2022,Government Agency
INVEST KEDAH BHD,,IP,12/1/2023,Government Agency
INVEST KEDAH BHD,,IP,20/3/2024,Government Agency
JABIL CIRCUIT SDN BHD,,IP,16/11/2020,Manufacturing
JABIL CIRCUIT SDN BHD,,IP,31/3/2021,Manufacturing
JABIL CIRCUIT SDN BHD,,IP,3/8/2022,Manufacturing
JABIL CIRCUIT SDN BHD,,IP,12/3/2023,Manufacturing
OSADI COMMERCIAL SUPPLIES SDN BHD,,IP,31/3/2021,Professional Services
PEJABAT ADUN BANDAR BAHARU,,IP,31/3/2021,Government
SHOWA DENKO HD (MALAYSIA) SDN BHD,,IP,31/3/2021,Manufacturing
SYNVUE SDN BHD,,IP,12/11/2020,E&E
SYNVUE SDN BHD,,IP,31/3/2021,E&E
UNIKL MALAYSIAN SPANISH INSTITUTE,,IP,31/3/2021,Education
WALTA ENGINEERING SDN BHD,,IP,31/3/2021,E&E
AERUMA GROUP SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
AIDAN TECHNOLOGIES SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
AJM-PLANNING AND URBAN DESIGN GROUP SDN BHD,,IP,31/3/2021,Construction / Property
ANIMONSTA STUDIOS SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
ANNEMS LEADERSHIP SOLUTION SDN BHD,,IP,31/3/2021,Professional Services
ANSELL GLOBAL TRADING CENTER (M) SDN BHD,,IP,31/3/2021,GBS
ANSELL GLOBAL TRADING CENTER (M) SDN BHD,,IP,6/10/2023,GBS
ATOS SERVICES (M) SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
BILLPLZ SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
CHUMBAKA CYBERJAYA,,IP,31/3/2021,Education
CSF ADVISERS SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
DD ANIMATION STUDIO SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
DELL TECHNOLOGIES MALAYSIA,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
DELL TECHNOLOGIES MALAYSIA,,IP,29/4/2024,Communications Content and Infrastructure (CCI)
DIYAAS CONFECTIONERY,,IP,31/3/2021,FMCG
DOCUMATION SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
DRB-HICOM BHD,,IP,31/3/2021,Automotive
DRB-HICOM BHD,,IP,13/6/2023,Automotive
EDARAN OTOMOBIL NASIONAL BHD,,IP,31/3/2021,Automotive
EJEN2U INTERNATIONAL SDN BHD,,IP,31/3/2021,Professional Services
ENSOFT CONSULTING SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
FINEXUS INTERNATIONAL SDN BHD,,IP,31/3/2021,Financial Services
G-ASIAPACIFIC SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
GO2 GLOBAL SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
GOVICLE SDN BHD (FKA JOMPARKIR SDN BHD),,IP,31/3/2021,Communications Content and Infrastructure (CCI)
GR TECH SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
ICYCLE MALAYSIA SDN BHD,,IP,31/3/2021,Waste Management
INNOWAVE LLC SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
INTERNSPOON SDN BHD,,IP,31/3/2021,Professional Services
LUXTAG SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
MAAZTECH GROUP SDN BHD,,IP,31/3/2021,Construction / Property
MALAYA MAMALIA SDN BHD,,IP,31/3/2021,Tourism
MODEN SKYLIGHT BHD,,IP,31/3/2021,Professional Services
MYKRIS INTERNATIONAL BHD,,IP,31/3/2021,Professional Services
MYNEF ACADEMY SDN BHD,,IP,31/3/2021,Professional Services
NEOREKA ASIA,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
AGATE,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
OA RESEARCH & DEVELOPMENT SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
ONNET SOLUTIONS SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
PANDAI EDUCATION SDN BHD,,IP,31/3/2021,Education
PRIMEKEEPER MALAYSIA SDN BHD,,IP,31/3/2021,GBS
RED ANGPOW SDN BHD,,IP,31/3/2021,Professional Services
REDTONE TELECOMMUNICATIONS SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
SOFT SOLVERS SOLUTIONS SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
STAMPEDE SOLUTION,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
STUDY GERMANY SDN BHD,,IP,31/3/2021,Education
TA SQUARE,,IP,31/3/2021,Professional Services
TATA CONSULTANCY SERVICES MALAYSIA,,IP,31/3/2021,Professional Services
THE AWESOME FOOD SDN BHD,,IP,31/3/2021,FMCG
THELORRY,,IP,31/3/2021,Transportation
TIMETEC CLOUD SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
TRIO FAME SDN BHD,,IP,31/3/2021,Professional Services
URBANICE MALAYSIA,,IP,31/3/2021,Government Agency
WOODWING DIGITAL SERVICES SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
ZEN COMPUTER SYSTEMS SDN BHD,,IP,31/3/2021,Communications Content and Infrastructure (CCI)
ZING HEALTHCARE SDN BHD,,IP,31/3/2021,Healthcare
AMI AWANA SDN BHD,,IP,1/4/2021,Professional Services
CREST GROUP BHD,,IP,1/4/2021,Government Agency
FEDERATION OF MALAYSIA MANUFACTURERS (FMM) PENANG BRANCH,,IP,1/4/2021,Association
HONEYWELL AEROSPACE AVIONICS MALAYSIA SDN BHD,,IP,1/4/2021,Manufacturing
INARI AMERTRON BHD,,IP,1/4/2021,E&E
INARI AMERTRON BHD,,IP,30/8/2022,E&E
INARI AMERTRON BHD,,IP,12/3/2023,E&E
INTER GREAT (M) SDN BHD,,IP,1/4/2021,Professional Services
PENANG AUTOMATION CLUSTER SDN BHD,,IP,1/4/2021,Automotive
ROBERT BOSCH SDN BHD,,IP,21/12/2020,Manufacturing
ROBERT BOSCH SDN BHD,,IP,1/4/2021,Manufacturing
ROBERT BOSCH SDN BHD,,IP,15/8/2022,Manufacturing
ROBERT BOSCH SDN BHD,,IP,16/2/2023,Manufacturing
SUNNINGDALE TECH PENANG SDN BHD,,IP,1/4/2021,Manufacturing
SUNNINGDALE TECH PENANG SDN BHD,,IP,3/8/2022,Manufacturing
VITROX CORPORATION BHD,,IP,1/4/2021,E&E
VITROX CORPORATION BHD,,IP,24/2/2022,E&E
EPRD MINISTRY OF EDUCATION (MOE),,IP,1/4/2021,Government Agency
JABATAN TENAGA KERJA (JTK),,IP,11/6/2020,Government
JABATAN TENAGA KERJA (JTK),,IP,1/4/2021,Government
JABATAN TENAGA KERJA (JTK),,IP,14/11/2023,Government
JABATAN PEMBANGUNAN KEMAHIRAN KEMENTERIAN SUMBER MANUSIA,,IP,1/4/2021,Government
JABATAN KEBAJIKAN MASYARAKAT,,IP,1/4/2021,Government
MINISTRY OF COMMUNICATIONS AND MULTIMEDIA,,IP,1/4/2021,Government
LOGICALIS ASIA PACIFIC MSC SDN BHD,,IP,5/4/2021,GBS
JINJING TECHNOLOGY MALAYSIA SDN BHD,,IP,14/5/2019,E&E
JINJING TECHNOLOGY MALAYSIA SDN BHD,,IP,8/4/2021,E&E
JINJING TECHNOLOGY MALAYSIA SDN BHD,,IP,3/8/2022,E&E
PENTAA ADVANTAGE CONSULTANCY SDN BHD,,IP,9/4/2021,Professional Services
UNIMY,,IP,10/4/2021,Education
CENTRE OF APPLIED DATA SCIENCE (CADS),,IP,13/4/2021,STEM (AI)
EVER AI TECHNOLOGIES,,IP,13/4/2021,STEM (AI)
CHANGEDYNAMICS CONSULTING,,IP,14/4/2021,Professional Services
MALAYSIA TRANSFORMER MANUFACTURING SDN BHD,,IP,14/4/2021,Manufacturing
ST MICROELECTRONICS SDN BHD,,IP,15/4/2021,E&E
ST MICROELECTRONICS SDN BHD,,IP,21/9/2023,E&E
SIME DARBY FOUNDATION,,IP,15/4/2021,Foundation
INVOLVE ASIA,,IP,2/8/2019,GBS
INVOLVE ASIA,,IP,16/4/2021,GBS
MALAYSIAN COMMUNICATIONS AND MULTIMEDIA COMMISSION (MCMC),,IP,20/4/2021,Communications Content and Infrastructure (CCI)
MALAYSIAN COMMUNICATIONS AND MULTIMEDIA COMMISSION (MCMC),,IP,6/4/2022,Communications Content and Infrastructure (CCI)
MALAYSIAN COMMUNICATIONS AND MULTIMEDIA COMMISSION (MCMC),,IP,13/6/2023,Communications Content and Infrastructure (CCI)
MALAYSIAN COMMUNICATIONS AND MULTIMEDIA COMMISSION (MCMC),,IP,15/3/2024,Communications Content and Infrastructure (CCI)
ASIAFLEX PRODUCTS SDN BHD,,IP,22/4/2021,"Oil, Gas & Energy (OGE)"
BASF PETRONAS CHEMICALS,,IP,22/4/2021,"Oil, Gas & Energy (OGE)"
BASF PETRONAS CHEMICALS,,IP,25/1/2022,"Oil, Gas & Energy (OGE)"
BASF PETRONAS CHEMICALS,,IP,18/10/2023,"Oil, Gas & Energy (OGE)"
CONOCOPHILLIPS,,IP,22/4/2021,"Oil, Gas & Energy (OGE)"
CYPRESS SEMICONDUCTOR (MALAYSIA) SDN BHD,,IP,22/4/2021,E&E
DIALOG GROUP BHD,,IP,21/1/2020,"Oil, Gas & Energy (OGE)"
DIALOG GROUP BHD,,IP,22/4/2021,"Oil, Gas & Energy (OGE)"
DIALOG GROUP BHD,,IP,19/10/2023,"Oil, Gas & Energy (OGE)"
HOTEL EQUATORIAL (M) SDN BHD,,IP,22/4/2021,Tourism
II-VI MALAYSIA ADVANCE MANUFACTURING CENTRE SDN BHD,,IP,22/4/2021,Manufacturing
KUEHNE + NAGEL SDN BHD,,IP,22/4/2021,Transportation
LOTTE CHEMICAL TITAN HOLDING BHD,,IP,22/4/2021,"Oil, Gas & Energy (OGE)"
LOTTE CHEMICAL TITAN HOLDING BHD,,IP,8/12/2022,"Oil, Gas & Energy (OGE)"
MERCK SHARP & DOHME (MALAYSIA) SDN BHD,,IP,22/4/2021,GBS
MMHE,,IP,22/4/2021,"Oil, Gas & Energy (OGE)"
MUBADALA PETROLEUM,,IP,22/4/2021,"Oil, Gas & Energy (OGE)"
MUDAH.MY SDN BHD,,IP,29/1/2019,Communications Content and Infrastructure (CCI)
MUDAH.MY SDN BHD,,IP,22/4/2021,Communications Content and Infrastructure (CCI)
NI MALAYSIA SDN BHD,,IP,22/4/2021,E&E
NI MALAYSIA SDN BHD,,IP,6/6/2023,E&E
PHOTOBOOK WORLDWIDE SDN BHD,,IP,30/1/2019,Communications Content and Infrastructure (CCI)
PHOTOBOOK WORLDWIDE SDN BHD,,IP,22/4/2021,Communications Content and Infrastructure (CCI)
SOLAR TURBINES MALAYSIA SDN BHD,,IP,29/9/2020,"Oil, Gas & Energy (OGE)"
SOLAR TURBINES MALAYSIA SDN BHD,,IP,22/4/2021,"Oil, Gas & Energy (OGE)"
U MOBILE SDN BHD,,IP,22/4/2021,Communications Content and Infrastructure (CCI)
U MOBILE SDN BHD,,IP,7/12/2023,Communications Content and Infrastructure (CCI)
UST GLOBAL (MALAYSIA) SDN BHD,,IP,22/4/2021,E&E
DATALYTICA SDN BHD,,IP,23/4/2021,Communications Content and Infrastructure (CCI)
DATALYTICA SDN BHD,,IP,15/8/2022,Communications Content and Infrastructure (CCI)
DATALYTICA SDN BHD,,IP,23/6/2023,Communications Content and Infrastructure (CCI)
ITRAMAS SDN BHD,,IP,23/4/2021,E&E
QUEST INTERNATIONAL UNIVERSITY,,IP,23/4/2021,Education
SWIFT SUPPORT SERVICES MALAYSIA S/B,,IP,23/4/2021,GBS
SWIFT SUPPORT SERVICES MALAYSIA S/B,,IP,2/3/2023,GBS
FEDEX WORLD SERVICE CENTRE,,IP,29/4/2021,GBS
TIME DOTCOM BHD,,IP,3/5/2021,Communications Content and Infrastructure (CCI)
EITA ELEVATOR (M) SDN BHD,,IP,3/5/2021,E&E
GE POWER SOLUTIONS (M) SDN BHD,,IP,3/5/2021,"Oil, Gas & Energy (OGE)"
HSBC ELECTRONIC DATA PROCESSING MALAYSIA,,IP,3/5/2021,GBS
HUMAN INC.,,IP,3/5/2021,Professional Services
KODEWAVE SDN BHD,,IP,3/5/2021,Communications Content and Infrastructure (CCI)
LENOVO TECHNOLOGY,,IP,3/5/2021,Communications Content and Infrastructure (CCI)
MALAYAN FLOUR MILLS BHD,,IP,3/5/2021,Conglomerate
MBM RESOURCES BHD,,IP,3/5/2021,Automotive
RECRON (M) SDN BHD,,IP,3/5/2021,Manufacturing
ROLAND MANUFACTURING MALAYSIA SDN BHD,,IP,3/5/2021,Manufacturing
SEEDS JOB FAIR,,IP,3/5/2021,Professional Services
TECHNIPFMC,,IP,3/5/2021,"Oil, Gas & Energy (OGE)"
UOB INNOVATION HUB 2,,IP,3/5/2021,GBS
UOB INNOVATION HUB 2,,IP,4/4/2023,GBS
UOB INNOVATION HUB 2,,IP,5/2/2024,GBS
ZURICH LIFE INSURANCE MALAYSIA BHD,,IP,3/5/2021,Financial Services
ZURICH LIFE INSURANCE MALAYSIA BHD,,IP,5/4/2022,Financial Services
ZURICH LIFE INSURANCE MALAYSIA BHD,,IP,7/12/2023,Financial Services
INTERNATIONAL UNIVERSITY OF MALAYA-WALES (IUMW),,IP,6/5/2021,Education
MAXIS BHD,,IP,7/5/2021,Communications Content and Infrastructure (CCI)
MAXIS BHD,,IP,10/3/2022,Communications Content and Infrastructure (CCI)
MAXIS BHD,,IP,7/7/2023,Communications Content and Infrastructure (CCI)
ASSOCIATION OF MALAYSIAN MEDICAL INDUSTRIES (AMMI),,IP,10/5/2021,Association
ASSOCIATION OF MALAYSIAN MEDICAL INDUSTRIES (AMMI),,IP,1/12/2022,Association
ASSOCIATION OF MALAYSIAN MEDICAL INDUSTRIES (AMMI),,IP,1/3/2023,Association
STEELCASE,,IP,26/11/2019,GBS
STEELCASE,,IP,11/5/2021,GBS
YEO HIAP SENG (YEO?S),,IP,17/5/2021,FMCG
KIMBERLY CLARK,,IP,19/5/2021,FMCG
OSRAM OPTO SEMICONDUCTOR MALAYSIA,,IP,19/5/2021,E&E
OSRAM OPTO SEMICONDUCTOR MALAYSIA,,IP,15/8/2022,E&E
MICROCHIP OPERATIONS (MALAYSIA) SDN BHD,,IP,21/5/2021,E&E
EDUCITY ISKANDAR MALAYSIA,,IP,25/5/2021,Education
EDUCITY ISKANDAR MALAYSIA,,IP,19/5/2022,Education
NATIONAL STEM ASSOCIATION (NSA),,IP,27/5/2021,Association
LEMBAGA TABUNG HAJI,,IP,1/6/2021,Government Agency
JAMES B.O.S.S,,IP,3/6/2021,Communications Content and Infrastructure (CCI)
BECTON DICKINSON (BD),,IP,14/6/2021,Healthcare
BECTON DICKINSON (BD),,IP,4/8/2022,Healthcare
TAN CHONG MOTOR HOLDINGS BHD,,IP,18/9/2019,Automotive
TAN CHONG MOTOR HOLDINGS BHD,,IP,17/6/2021,Automotive
ENTEGRIS (MALAYSIA) SDN BHD,,IP,22/6/2021,E&E
ENTEGRIS (MALAYSIA) SDN BHD,,IP,14/3/2023,E&E
MR D.I.Y. GROUP (M) BHD,,IP,25/1/2019,Retail
MR D.I.Y. GROUP (M) BHD,,IP,30/6/2021,Retail
RISEN SOLAR TECHNOLOGY SDN BHD,,IP,30/6/2021,E&E
RISEN SOLAR TECHNOLOGY SDN BHD,,IP,22/2/2022,E&E
MPBF,,IP,30/6/2021,Consortium
CAPCO,,IP,1/7/2021,Professional Services
DSH ACADEMY,,IP,2/7/2021,Education
DELL TECHNOLOGIES MALAYSIA,,IP,2/7/2021,E&E
DELL TECHNOLOGIES MALAYSIA,,IP,5/7/2022,E&E
DELL TECHNOLOGIES MALAYSIA,,IP,16/2/2023,E&E
FAMILY MART,,IP,6/7/2021,Retail
KHAZANAH NASIONAL BHD,,IP,6/7/2021,Government Agency
KHAZANAH NASIONAL BHD,,IP,16/3/2022,Government Agency
KHAZANAH NASIONAL BHD,,IP,6/7/2023,Government Agency
BONUSKAD LOYALTY SDN BHD,,IP,6/7/2021,Communications Content and Infrastructure (CCI)
GIVAUDAN,,IP,17/5/2019,GBS
GIVAUDAN,,IP,12/7/2021,GBS
NEXPERIA MALAYSIA SDN BHD,,IP,14/7/2021,E&E
NEXPERIA MALAYSIA SDN BHD,,IP,6/6/2023,E&E
REGIONAL CORRIDOR DEVELOPMENT AUTHORITY (RECODA),,IP,16/7/2021,Government State Agency
REGIONAL CORRIDOR DEVELOPMENT AUTHORITY (RECODA),,IP,11/2/2022,Government State Agency
REGIONAL CORRIDOR DEVELOPMENT AUTHORITY (RECODA),,IP,26/5/2023,Government State Agency
HALAL DEVELOPMENT CORPORATION,,IP,19/7/2021,Government Agency
POWER INTEGRATIONS MALAYSIA SDN BHD,,IP,26/7/2021,E&E
UMW TOYOTA,,IP,29/7/2021,Automotive
UMW TOYOTA,,IP,11/3/2024,Automotive
FEDERATION OF MALAYSIA MANUFACTURERS (FMM) CENTRAL,,IP,3/8/2021,Association
FEDERATION OF MALAYSIA MANUFACTURERS (FMM) CENTRAL,,IP,18/8/2022,Association
SYNTHOMER R&D,,IP,3/8/2021,"Oil, Gas & Energy (OGE)"
ALCON MALAYSIA,,IP,6/8/2021,Healthcare
ALCON MALAYSIA,,IP,25/9/2023,Healthcare
UNIVERSITI TUN HUSSEIN ONN MALAYSIA,,IP,10/8/2021,Education
UNIVERSITI TUN HUSSEIN ONN MALAYSIA,,IP,22/7/2022,Education
UNIVERSITI TUN HUSSEIN ONN MALAYSIA,,IP,13/7/2023,Education
BASF ASIA PACIFIC,,IP,11/8/2021,"Oil, Gas & Energy (OGE)"
BASF ASIA PACIFIC,,IP,12/7/2022,"Oil, Gas & Energy (OGE)"
BTC RECRUITMENT SDN BHD,,IP,11/8/2021,Professional Services
MIDP GROUP SDN BHD,,IP,11/8/2021,Professional Services
"MINISTRY OF EDUCATION, SCIENCE AND TECHNOLOGICAL RESEARCH SARAWAK (MESTR)",,IP,11/8/2021,Government
SSY INSPIRE PEOPLE VENTURES,,IP,11/8/2021,Professional Services
TEACH FOR MALAYSIA FOUNDATION,,IP,11/8/2021,Education
SARAWAK SHELL,,IP,11/8/2021,"Oil, Gas & Energy (OGE)"
SIGNATURE MARKET,,IP,17/8/2021,Retail
COMPOSITES TECHNOLOGY RESEARCH MALAYSIA SDN BHD,,IP,19/8/2021,Manufacturing
INTERNATIONAL ISLAMIC UNIVERSITY MALAYSIA (IIUM),,IP,21/8/2021,Education
INTERNATIONAL ISLAMIC UNIVERSITY MALAYSIA (IIUM),,IP,8/1/2023,Education
ASTRO MALAYSIA HOLDINGS BHD,,IP,1/9/2021,Communications Content and Infrastructure (CCI)
ASTRAZANECA,,IP,2/9/2021,Healthcare
CB INDUSTRIAL PRODUCT HOLDING,,IP,2/9/2021,"Oil, Gas & Energy (OGE)"
INSTITUT LATIHAN PERINDUSTRIAN BUKIT KATIL MELAKA,,IP,2/9/2021,Education
INSTITUT LATIHAN PERINDUSTRIAN KUALA TERENGGANU,,IP,2/9/2021,Education
INSTITUT LATIHAN PERINDUSTRIAN IPOH,,IP,2/9/2021,Education
JMTI PENANG,,IP,7/4/2019,Education
JMTI PENANG,,IP,2/9/2021,Education
JMTI PENANG,,IP,29/8/2023,Education
KONSORTIUM PROHAWK SDN BHD,,IP,2/9/2021,Construction / Property
KPJ HEALTHCARE BHD,,IP,2/9/2021,Healthcare
KPJ HEALTHCARE BHD,,IP,7/12/2023,Healthcare
KPJ HEALTHCARE BHD,,IP,13/3/2024,Healthcare
MONASH UNIVERSITY MALAYSIA,,IP,2/9/2021,Education
"MÖVENPICK HOTEL & CONVENTION CENTRE, KLIA",,IP,2/9/2021,Tourism
MPM PETRONAS,,IP,2/9/2021,"Oil, Gas & Energy (OGE)"
MPM PETRONAS,,IP,6/12/2023,"Oil, Gas & Energy (OGE)"
MPM PETRONAS,,IP,15/1/2024,"Oil, Gas & Energy (OGE)"
UTAR,,IP,2/9/2021,Education
DREAMEDGE,,IP,2/9/2021,E&E
DREAMEDGE,,IP,10/1/2022,E&E
UEKATSU INDUSTRY (MALAYSIA) SDN BHD,,IP,3/9/2021,E&E
OSK CAPITAL,,IP,6/9/2021,Conglomerate
MSTS ASIA SDN BHD,,IP,6/9/2021,"Oil, Gas & Energy (OGE)"
UTMSPACE,,IP,6/9/2021,Education
